CLIENTNUM,Customer_Age,Gender,Dependent_count,Education_Level,Marital_Status,Income_Category,Card_Category,Months_on_book,Total_Relationship_Count,Months_Inactive_12_mon,Contacts_Count_12_mon,Credit_Limit,Total_Revolving_Bal,Avg_Open_To_Buy,Total_Amt_Chng_Q4_Q1,Total_Trans_Amt,Total_Trans_Ct,Total_Ct_Chng_Q4_Q1,Avg_Utilization_Ratio,Attrition_Flag
32,42,F,0,Post-Graduate,Married,$60K - $80K,Blue,37,4,1,1,24259.476015457883,1349,29090.95693275831,1.9786552995918956,13941,51,2.416865268669397,0.3022170663164824,Existing Customer
33,66,M,1,Graduate,Married,Less than $40K,Blue,49,2,3,2,11104.803987487467,1517,2174.1905750635406,2.5670927344897354,11621,43,3.642827564826317,0.6304313130702509,Existing Customer
34,44,M,3,Post-Graduate,Married,$80K - $120K,Blue,37,1,6,6,2410.581120262271,1613,3315.5349325567217,0.06233255474556865,8359,50,0.4018309405070135,0.4264982921569479,Existing Customer
35,59,M,0,High School,Married,$60K - $80K,Blue,34,3,2,5,11283.943818019905,1465,1640.4446299200547,2.374401249598119,17887,78,3.6995155852061417,0.8754595041715476,Existing Customer
36,45,F,1,Graduate,Single,$120K +,Blue,17,2,5,6,8162.942806638692,304,11629.247008243317,3.7655626411814014,14342,12,1.9429139721117306,0.7271427887402387,Attrited Customer
37,33,F,2,High School,Divorced,Less than $40K,Blue,20,2,4,2,12139.815566189682,669,25533.650492407403,0.18952095918004286,15001,41,0.22966322310190002,0.24810446746169945,Attrited Customer
38,32,F,1,Graduate,Married,$80K - $120K,Blue,53,3,4,0,28692.135256763904,2307,23994.90782979447,0.6843693976377612,18875,53,3.5553373526425855,0.9644351138758631,Attrited Customer
39,64,M,4,High School,Single,$60K - $80K,Blue,39,2,5,5,23892.719680140908,1116,10643.669773338632,0.4132713119608322,5997,74,0.4555362089905759,0.25478431013864455,Attrited Customer
40,68,F,5,Graduate,Single,Less than $40K,Blue,47,5,2,6,10511.148409590221,2589,22521.21796334194,1.4772958552284052,8389,139,2.685765049459412,0.15743424389024963,Existing Customer
41,61,M,1,Graduate,Married,$40K - $60K,Blue,13,1,1,4,14894.179571910568,663,29369.48535089956,1.4782471846565568,15957,54,1.1328617016832307,0.9752325722184269,Existing Customer
42,72,F,1,Graduate,Single,$80K - $120K,Blue,32,5,6,5,8273.137361165154,536,5818.475300623425,3.8228024776808884,17891,17,0.4202167661398213,0.08265875535670641,Attrited Customer
43,69,F,1,High School,Single,$40K - $60K,Blue,19,4,4,1,19823.21461726172,576,28916.51993982762,3.2017417322276716,18348,67,3.3719952253588925,0.3578872534768869,Existing Customer
44,20,F,0,Graduate,Single,$40K - $60K,Silver,15,6,0,1,8692.581621698995,971,23123.66031069726,2.5485688639232267,10978,60,1.7090699025154947,0.6326227602908392,Existing Customer
45,54,M,3,Post-Graduate,Married,$80K - $120K,Silver,54,1,0,1,32526.823346335346,1807,3439.928362131407,2.56887138704552,6459,76,2.478795319650408,0.9536156660370627,Existing Customer
46,68,M,1,Graduate,Single,Less than $40K,Blue,21,4,0,2,10172.905424741202,1846,23835.8955037042,2.666153264507122,2303,110,2.8227909082704215,0.2897752366799874,Existing Customer
47,24,F,1,Post-Graduate,Married,$40K - $60K,Blue,26,3,5,5,25208.749559145035,1178,3067.5605377679803,0.6834927771789965,4901,31,2.2098503010363832,0.6568996861348061,Attrited Customer
48,38,M,4,Graduate,Married,$60K - $80K,Blue,31,2,4,1,14394.47752729116,1500,891.8921487233023,1.4168259233574618,3039,75,3.1171084368426936,0.024266167450023968,Attrited Customer
49,26,M,4,Graduate,Married,$60K - $80K,Blue,39,2,1,1,31381.548082753525,955,22938.06587686482,2.586258679149555,12590,22,2.0004610414583817,0.7148609644888093,Existing Customer
50,56,M,2,Uneducated,Married,$40K - $60K,Blue,18,1,5,2,11724.892618010446,2661,26849.334638390046,0.13371627457153368,11210,18,1.6638739679900678,0.915983193919167,Attrited Customer
51,35,M,2,College,Married,$60K - $80K,Blue,19,6,3,0,1541.196518171228,378,12011.759310883655,1.9596055927559979,15512,34,3.0071989735968225,0.16209628627447747,Existing Customer
52,21,M,4,High School,Married,$60K - $80K,Blue,49,6,1,2,4607.669092197177,1503,721.9611414716986,3.3466101352720563,7099,114,0.8377507469695029,0.7787356566913767,Existing Customer
53,42,M,3,High School,Single,$60K - $80K,Blue,38,2,3,6,3307.4689886025603,943,17926.78699748483,2.1803451238449556,11816,68,3.768847691434297,0.5004409783561086,Existing Customer
54,31,M,2,Uneducated,Single,$60K - $80K,Blue,25,2,6,2,11540.223661838163,1388,6998.922784329974,3.4606776810559294,6511,107,1.1990630843620966,0.5990179045460257,Attrited Customer
55,67,F,5,College,Married,$40K - $60K,Blue,49,4,4,5,23861.911253022405,1387,16313.072306748028,2.985855226524727,18586,50,0.15503682862043178,0.7056396448769842,Attrited Customer
56,26,M,5,College,Married,$80K - $120K,Blue,45,5,6,0,18548.405372257937,1576,9537.760682758166,2.155468886247666,2014,37,2.1705075396850217,0.7048322348439854,Attrited Customer
57,43,M,3,Graduate,Single,$40K - $60K,Blue,45,2,2,3,9466.497762550312,1731,18671.68773330975,1.507175019392486,11581,50,1.2060756471034462,0.47576816042767545,Existing Customer
58,70,F,4,Graduate,Married,$120K +,Blue,53,4,3,5,34958.003702769696,2209,7809.2533014859055,2.623236051333532,4598,88,0.6338849527713157,0.4591213501715472,Existing Customer
59,19,F,2,Uneducated,Married,Less than $40K,Blue,21,5,3,3,3233.795396545264,1185,4452.902528397633,1.989639562320145,11978,87,3.1319706605001967,0.2913947179981847,Existing Customer
60,37,F,1,Uneducated,Single,$40K - $60K,Blue,27,2,1,4,22189.172409405026,2945,22572.362913111057,3.976931658611871,2380,82,2.361031427550157,0.16296777611894897,Attrited Customer
61,45,F,4,Uneducated,Married,Less than $40K,Blue,17,1,4,4,28255.525917075058,2542,16165.154326063614,2.441853669858747,4337,15,2.3701649924708525,0.8522663092677348,Attrited Customer
62,64,M,2,Doctorate,Married,$60K - $80K,Blue,41,1,1,6,33572.49973634667,1536,9522.296433423842,1.0069810700826256,16176,10,2.0636184181304693,0.8263679235292967,Existing Customer
63,24,F,3,Post-Graduate,Married,Less than $40K,Platinum,19,1,4,2,13050.404255648575,2134,18836.89771180192,3.851966202737691,3123,98,2.5805873967041646,0.8582882245287449,Existing Customer
64,61,F,5,Graduate,Married,$60K - $80K,Blue,43,3,6,6,20386.150504172045,1765,8616.325087117939,1.1481813282409483,9869,36,3.68915479273726,0.9753318273950312,Attrited Customer
65,25,M,3,Graduate,Divorced,$80K - $120K,Blue,46,1,3,4,9556.916291830948,1828,10959.259409331644,3.5630613055928384,10024,106,1.3209324964645193,0.3579969927196963,Existing Customer
66,64,M,2,Uneducated,Married,Less than $40K,Blue,23,2,2,3,2143.915436356393,850,11274.95367449574,1.9687924702646789,1202,53,2.5417749322955223,0.4447781361017641,Existing Customer
67,52,M,3,Graduate,Single,Less than $40K,Blue,54,2,5,4,18601.690974654746,698,6794.083693442897,2.819700923355903,15974,123,3.1331088810042287,0.9187001442300377,Attrited Customer
68,31,F,2,Graduate,Single,$80K - $120K,Blue,31,6,4,6,21082.50459526531,426,13226.037728803078,0.8068757651030438,8934,78,0.8130148459019488,0.1909197416505477,Existing Customer
69,34,M,2,High School,Married,$40K - $60K,Blue,17,1,3,6,10358.651071475524,442,24457.618606008924,2.2375973207758815,679,117,2.937140258209294,0.6017413655668625,Attrited Customer
70,53,F,3,High School,Married,$40K - $60K,Blue,35,6,5,3,8899.246930886446,1867,29129.010544436933,0.8043663586757539,14872,53,1.5266281637675165,0.6871926510614236,Existing Customer
71,67,M,0,Graduate,Single,Less than $40K,Blue,14,1,5,3,10552.094590305374,320,6582.666277114332,0.9501871176574803,12081,109,3.3652719621692455,0.7500500857292148,Attrited Customer
72,57,M,1,Post-Graduate,Divorced,$40K - $60K,Blue,55,4,2,2,18827.248584583434,2414,28165.03095682594,0.6471785043311686,16823,23,1.1803509514228478,0.840287569164142,Existing Customer
73,21,F,4,Graduate,Married,Less than $40K,Blue,16,5,1,4,24136.156891306473,2121,8336.747447411968,1.797453179941796,8349,16,2.7716834234077297,0.26296200451478824,Existing Customer
74,19,M,5,Graduate,Married,$60K - $80K,Blue,29,1,1,4,25502.37403891289,141,14097.23497999409,2.05880568527922,14020,12,2.0425223776244033,0.5991727334602575,Existing Customer
75,23,M,1,Graduate,Single,$40K - $60K,Blue,43,4,4,6,10421.006951681293,1662,3019.4002365137585,1.0504473872104922,8368,83,2.998136213533227,0.9365495688425026,Attrited Customer
76,71,M,4,High School,Married,$60K - $80K,Silver,42,2,4,0,30112.9283968888,1453,18241.352191443977,2.4540655811477086,7882,41,3.249844052818173,0.9000931455686912,Attrited Customer
77,59,M,4,College,Married,$40K - $60K,Blue,14,1,4,0,17499.05215099022,100,15325.30303780656,1.0841907291914654,15896,118,0.48569300230708334,0.5920712351071518,Attrited Customer
78,21,M,5,Doctorate,Married,$40K - $60K,Blue,36,4,1,3,19636.537139254287,249,20367.575599483072,2.0856828644204937,2777,64,1.0507993653545324,0.27189497270906227,Existing Customer
79,71,F,1,High School,Married,$40K - $60K,Blue,22,4,4,5,8762.90218070964,2094,18012.944542521225,2.7430067022323126,17409,25,1.0288168347877695,0.5284741060280314,Attrited Customer
80,46,F,5,Post-Graduate,Married,$80K - $120K,Blue,40,5,3,2,14027.835814321,698,29442.517191589042,0.24017721900272804,2643,28,0.18103481933635557,0.35529086303645174,Attrited Customer
81,35,M,2,Graduate,Married,$40K - $60K,Blue,55,2,5,1,2755.6182955201375,2907,23104.327801859585,3.4405724297412656,11174,51,3.8323246702709777,0.6821605841434013,Attrited Customer
82,43,F,5,College,Single,Less than $40K,Blue,44,5,0,6,20627.152456822285,1419,28964.594530239043,1.431172123264011,5597,139,2.231305594051485,0.5811168590209527,Existing Customer
83,61,F,3,Graduate,Single,$40K - $60K,Blue,45,5,0,4,26461.630343882964,1487,15765.316368147001,2.0673781089122505,12469,15,0.8823970294589119,0.15151768713651392,Existing Customer
84,51,F,0,Graduate,Married,Less than $40K,Blue,30,6,4,4,19479.48531606894,1088,8442.675028780423,1.7832090072270312,3639,109,2.261473130834675,0.40010597626274913,Existing Customer
85,27,M,0,Uneducated,Married,Less than $40K,Blue,36,6,3,3,12102.369822389923,913,15958.906175345712,3.7986785677751,16310,126,3.3157382080154743,0.9511561702072945,Existing Customer
86,53,M,0,Post-Graduate,Single,$40K - $60K,Blue,49,5,3,3,29381.403044520943,2755,14002.357870529628,0.7592246136978904,1503,35,0.6381993525400396,0.7907361102275878,Existing Customer
87,31,M,1,High School,Married,$40K - $60K,Blue,42,2,3,4,2959.611539633069,1605,12816.00597083879,2.507488603552549,18840,102,2.593586999393684,0.4163426228532423,Existing Customer
88,48,F,1,Post-Graduate,Married,$120K +,Blue,17,1,5,3,9456.97057415833,569,12032.189880621963,3.3142592946446165,16245,77,0.5976396050133679,0.8642323961466938,Attrited Customer
89,65,F,2,High School,Married,Less than $40K,Blue,35,5,2,2,2701.0482035786717,2738,24340.69986915922,1.7142031587021358,9079,51,3.401340974758032,0.4810305871000742,Existing Customer
90,32,M,0,College,Married,$60K - $80K,Blue,42,3,6,4,14362.308923561523,829,22233.59024453081,1.3407571540131604,10350,59,0.9584073077537765,0.48961801139900607,Existing Customer
91,25,M,2,High School,Divorced,$40K - $60K,Blue,16,2,5,4,9512.033249181923,1904,19316.237437773918,0.44946712996789007,957,130,2.420940732683831,0.8167618405298281,Existing Customer
92,31,F,0,College,Single,Less than $40K,Blue,53,4,3,0,24207.793905374972,2978,19350.66728939386,2.883112774404602,3915,72,0.07085530172864729,0.732040630097937,Existing Customer
93,40,F,1,Graduate,Married,$120K +,Blue,36,4,1,3,3671.0102341676507,715,11217.360853732262,3.1443591754817604,2983,100,0.0046718296764729494,0.01211068213736377,Existing Customer
94,57,M,3,Graduate,Single,$80K - $120K,Blue,15,2,6,5,2144.867183090603,2842,13149.41902106908,1.2543800818036863,9712,13,2.726367776957801,0.39185793674341696,Attrited Customer
95,38,F,3,College,Married,$60K - $80K,Gold,27,4,1,0,19799.434758735253,1564,4576.386530055802,3.103377737282868,3087,42,0.22585011826043333,0.006693010974099689,Attrited Customer
96,33,F,3,College,Married,$60K - $80K,Blue,13,2,3,3,26384.911516266176,372,17369.673668767537,0.39907766264586897,5315,102,0.847968181241952,0.549888604180633,Existing Customer
97,62,F,5,Post-Graduate,Married,$120K +,Blue,22,1,0,1,16923.90483770232,1956,4206.0647635373125,1.721930236869499,9255,63,3.7568140757111586,0.44342128774568146,Existing Customer
98,35,F,3,High School,Single,$60K - $80K,Blue,38,6,2,4,10563.134994101594,2087,27459.457275486035,1.1071755545095225,10783,34,2.5830907256766853,0.2504028202276639,Existing Customer
99,64,F,4,Graduate,Married,Less than $40K,Blue,24,6,5,0,17951.075823370044,2301,12469.812369612875,1.1019436134078298,5261,35,1.0476276754075813,0.9867993690624757,Existing Customer
100,70,F,0,Graduate,Married,Less than $40K,Blue,13,2,1,4,12502.048264339017,2744,1279.5164842233287,3.7216172743674623,18651,119,2.68583465094123,0.12962479456117082,Existing Customer
101,41,F,3,Graduate,Married,$60K - $80K,Blue,14,1,6,6,11072.37556633282,2949,52.90545665931457,3.10550046822379,15240,82,3.973479429174756,0.8880111225667376,Attrited Customer
102,43,M,4,Uneducated,Married,$60K - $80K,Blue,23,2,1,0,16203.429638312515,2403,20289.090037389728,3.0647257983212843,8674,100,1.743839921184402,0.9379388736132661,Existing Customer
103,42,M,4,High School,Single,$60K - $80K,Blue,24,5,6,0,21877.63328838948,186,18346.050964007663,1.9727527075399656,5705,75,2.0397579818641294,0.8849236100641088,Attrited Customer
104,62,F,4,Post-Graduate,Single,Less than $40K,Blue,40,3,1,1,20674.266843600275,954,23108.04359299194,2.4865251846530483,13723,37,2.1376098521334077,0.45220242719314907,Existing Customer
105,58,F,2,Post-Graduate,Single,$80K - $120K,Blue,45,1,5,4,4679.748396868945,620,22480.575285397503,3.1439354144551257,14082,125,0.642682813714782,0.9724515369920197,Existing Customer
106,46,F,2,High School,Single,$60K - $80K,Blue,54,3,2,2,8421.155371397352,2932,92.30290589590572,1.0664001094434385,8763,32,2.1345186175717767,0.012123585548035276,Existing Customer
107,32,M,4,Uneducated,Divorced,$60K - $80K,Blue,15,4,3,3,1239.6014899284476,966,5010.935755535729,1.1652833470185788,8298,88,2.520114686746089,0.2992643006317126,Existing Customer
108,62,M,5,Uneducated,Married,Less than $40K,Blue,53,1,2,4,15897.271490554993,2681,9776.754740788736,3.53407593844461,14332,107,1.9588989355802426,0.14132293561453413,Existing Customer
109,18,F,3,Post-Graduate,Married,$120K +,Blue,31,4,3,3,27184.347020062312,83,1846.285796194983,0.9159598509818121,11051,42,1.8434848873340792,0.15466667725742378,Attrited Customer
110,42,M,0,High School,Married,$60K - $80K,Blue,30,5,4,2,15084.565141829775,2958,5345.052062953802,2.7199131738437026,11873,49,0.8799561450222431,0.7433801981650462,Attrited Customer
111,24,F,5,Uneducated,Married,$60K - $80K,Blue,49,6,1,5,34977.319309750455,2062,17442.987296386535,3.675717737208681,2726,90,2.3243243082023577,0.2699810451863971,Existing Customer
112,26,F,1,Graduate,Married,$80K - $120K,Blue,40,5,5,5,26511.471848887533,86,13711.619707072827,3.809103530313777,17594,99,2.192970111079678,0.3938892680393502,Attrited Customer
113,41,F,2,Graduate,Married,$80K - $120K,Blue,43,1,6,2,13747.07621860402,9,25816.70368828302,1.2127528519804889,16118,44,3.717871472391054,0.6031395331721938,Attrited Customer
114,18,F,3,Post-Graduate,Married,Less than $40K,Blue,19,1,0,3,34089.02471466053,1483,6716.851395294379,3.8006712746906817,11940,54,1.4683007124782703,0.7843972804771296,Existing Customer
115,61,F,3,Post-Graduate,Single,$80K - $120K,Blue,50,3,2,3,22783.10818139005,1800,16060.194483600271,0.551948310814578,12155,89,2.803612330361906,0.2881759530816591,Existing Customer
116,25,F,1,High School,Divorced,$60K - $80K,Blue,17,4,5,3,32260.03219994801,1434,25850.28971573346,0.970301595883758,7561,68,3.1335332476531765,0.8298937343112209,Existing Customer
117,41,F,1,Uneducated,Married,Less than $40K,Blue,31,3,2,2,3969.6862473509195,2493,1812.9908019285356,1.6068399465659366,15408,105,3.1677844613295556,0.5357359533716374,Existing Customer
118,28,M,3,College,Married,Less than $40K,Blue,25,1,5,2,19958.14186411323,889,26102.00008120675,3.038366331023917,18156,97,2.261892330668731,0.7077209717026697,Existing Customer
119,68,F,1,High School,Single,$40K - $60K,Platinum,51,6,1,2,31887.23371825034,2271,10319.42957312918,0.3586535339164554,15815,17,2.498183026007103,0.6934516571238876,Existing Customer
120,34,M,3,Doctorate,Married,$60K - $80K,Blue,40,3,6,6,23127.116344299873,1422,25785.040707692577,0.8898774842928452,8521,48,3.2056282480011355,0.8942631123626111,Attrited Customer
121,25,F,5,Post-Graduate,Married,$60K - $80K,Blue,14,1,1,6,34599.20256679428,2246,20453.89912264567,1.9069121599663896,17651,127,0.11593963962169251,0.8213084298496638,Existing Customer
122,52,F,1,Post-Graduate,Married,Less than $40K,Blue,18,2,5,4,34855.538663969724,2372,20184.050951198547,0.29902306582183114,7204,81,0.8599160939710595,0.8745495364125874,Attrited Customer
123,52,M,5,Graduate,Single,$80K - $120K,Blue,27,4,0,3,27929.27412057398,193,1438.2566028073475,1.4106771292787021,3695,23,2.1000342249904356,0.6735231253997078,Existing Customer
124,50,M,5,Graduate,Single,$80K - $120K,Blue,40,5,0,6,10478.033733142123,1153,28235.78213067061,2.458330529563077,10275,92,2.9201811741755757,0.12150954713179185,Existing Customer
125,22,F,1,College,Single,$60K - $80K,Blue,49,5,1,4,30021.046359575947,457,12933.220845438194,3.0904022068540864,3142,124,0.7214935137148859,0.15581088831180556,Existing Customer
126,59,M,3,Graduate,Married,$80K - $120K,Silver,37,3,5,1,24919.085116835526,2960,3251.1079673315603,2.00347546364138,18500,12,3.476324866720427,0.8228514564167347,Attrited Customer
127,56,F,4,High School,Married,$80K - $120K,Blue,44,6,3,2,4615.57222478888,332,23004.427062849067,1.7931763887793126,10559,65,2.0534738525384033,0.6270314959729195,Existing Customer
128,58,F,3,Uneducated,Married,Less than $40K,Blue,49,5,1,5,14181.03954390131,520,26004.310692132258,1.3272106599506976,12993,33,1.514117011581035,0.03100297309681488,Existing Customer
129,45,M,0,High School,Divorced,$60K - $80K,Blue,48,2,0,4,30733.36233597741,1487,27884.882819537695,1.4735656245753987,18017,85,0.6069802312129537,0.1596418692540127,Existing Customer
130,24,M,1,Post-Graduate,Single,$120K +,Blue,42,2,1,2,25063.929378730063,1862,15192.26761508322,2.159116430665782,15967,69,2.2399772689282447,0.8774136214020773,Existing Customer
131,26,M,2,Uneducated,Married,Less than $40K,Blue,36,3,0,0,15530.276883538087,3,12113.671604719379,1.584413769640462,8274,34,3.1531699271958007,0.5638648883769631,Existing Customer
132,25,M,1,Doctorate,Single,$120K +,Blue,30,5,4,3,21842.100494515747,30,17503.117321813766,1.2693414219078263,6068,86,1.2521743357248316,0.1135697308709398,Attrited Customer
133,29,F,0,Post-Graduate,Married,Less than $40K,Blue,13,5,3,6,32850.47153745656,223,8904.974223473262,2.493553689228858,18473,77,1.9858010755684194,0.05552667207446471,Existing Customer
134,51,M,5,High School,Divorced,$40K - $60K,Blue,15,1,5,6,21319.11045233989,1763,11784.384655043003,3.9865684242139547,13773,57,0.7073766139984952,0.9994319757094706,Attrited Customer
135,50,M,2,Graduate,Single,$60K - $80K,Blue,19,3,0,2,8740.90519086504,2946,16171.03545072005,1.1734459706895826,1995,14,1.0394361612600473,0.2954795508244008,Existing Customer
136,65,M,2,Post-Graduate,Married,$60K - $80K,Blue,45,1,5,6,23758.356607093127,2694,24732.12048806508,0.4803460703244369,1847,126,2.7651076635494216,0.6600853778417443,Attrited Customer
137,72,M,3,Graduate,Single,$60K - $80K,Gold,33,2,6,3,10050.550783517161,1610,25603.69463875543,0.5894032810971837,3949,83,3.8657429328364565,0.3287094470119375,Existing Customer
138,40,M,4,College,Married,$40K - $60K,Blue,26,6,6,4,22046.52533385088,2225,3936.162818768161,2.427446094333706,14955,93,2.449848748902186,0.7621220644925187,Existing Customer
139,41,F,3,Post-Graduate,Married,$60K - $80K,Blue,49,3,2,0,22915.334133023993,2350,4018.3978848406755,2.227485465781724,14275,113,2.525869933780769,0.908894069085524,Existing Customer
140,54,F,2,High School,Single,$60K - $80K,Blue,15,6,2,3,13292.196310879495,339,5526.304416476138,0.4269962996378278,6084,64,3.523368968051528,0.4743630812929901,Attrited Customer
141,52,M,2,Doctorate,Single,$40K - $60K,Gold,49,1,5,1,26183.033750088573,2453,17891.395104395488,1.640308657703064,18051,83,0.7266261877872275,0.9064615170893225,Attrited Customer
142,61,M,4,High School,Married,$60K - $80K,Blue,37,6,3,2,10958.93245664987,1880,6084.237733006959,3.4168206491791193,7628,76,3.2549175786421323,0.2957459769741059,Existing Customer
143,57,F,1,High School,Single,$80K - $120K,Silver,45,2,3,3,1500.6081147954606,713,18376.518146019032,1.9116867017041614,13487,107,3.4342999261503038,0.67961943998849,Existing Customer
144,39,M,4,Post-Graduate,Single,$40K - $60K,Blue,25,6,2,5,12922.101961125127,2749,21760.98027800311,3.1272586008438563,13000,110,2.7745084979520422,0.1618532594446349,Existing Customer
145,44,F,5,Doctorate,Married,$40K - $60K,Blue,45,5,5,5,30318.204880765396,2929,25755.424812820467,0.18536971332587937,17080,29,0.14124715743984995,0.2538451791702909,Attrited Customer
